pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOBP_ADAPTIVE_IMMUNE_RESPONSE	1.3901972700554177e-11	1.348491351953755e-9	0.8753251320246591	0.7407609123254623	3.68825950636844	28	
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	5.487924035021537e-4	0.002534898244748043	0.47727081536286214	-0.441500364840326	-2.339912690913502	28	
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	0.014314626490890776	0.02833711774727358	0.3807304007227924	-0.40244394153871293	-1.827323394008702	19	
GOBP_BIOLOGICAL_ADHESION	0.0014797177366420936	0.004863357313188359	0.45505986738722953	-0.4145668008553646	-2.130170466789855	26	
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	0.07622504537205081	0.10562613430127041	0.21925034670375515	0.2831435060124403	1.4874039374955992	33	
GOBP_BLOOD_VESSEL_MORPHOGENESIS	9.566815322544957e-5	7.733175719057175e-4	0.5384340963099162	-0.5063131231392576	-2.53076619312782	24	
GOBP_B_CELL_ACTIVATION	0.07169117647058823	0.10078324808184143	0.22798720285044224	0.3790070715775362	1.5317506772817455	16	
GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS	1.2254475241476763e-4	7.803897323604592e-4	0.5188480777437918	-0.4998067696025833	-2.4268888638113384	23	
GOBP_CELLULAR_RESPONSE_TO_LIPID	0.009612668202171219	0.020178029466024892	0.3807304007227924	-0.45180838569458376	-1.8595602231443402	15	
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	5.9119668613946666e-5	6.371786506169808e-4	0.557332238758646	-0.5198246516995744	-2.598302502449444	24	
GOBP_CELLULAR_RESPONSE_TO_STRESS	0.0019744946318946445	0.005803817554356986	0.4317076958033464	-0.4337766369065549	-2.0245553143383446	20	
GOBP_CELL_ACTIVATION	0.7036363636363636	0.7184497607655502	0.0574877409561325	0.16237949453206918	0.8022664352764672	27	
GOBP_CELL_CELL_SIGNALING	0.002516330083503311	0.007178941708818269	0.4317076958033464	-0.43221223725254726	-2.060894954697338	21	
GOBP_CELL_MIGRATION	3.532550003999224e-5	4.895105005541782e-4	0.557332238758646	-0.49135752762060975	-2.6560928554626906	30	
GOBP_CELL_MORPHOGENESIS	0.017669010463791664	0.032449524174762434	0.35248785758361917	-0.4266722617691489	-1.7561045598681777	15	
GOBP_CHEMICAL_HOMEOSTASIS	0.271523178807947	0.3027327395904697	0.12210792028708148	-0.27933549165526517	-1.149693510880814	15	
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	1.2365125130790324e-4	7.803897323604592e-4	0.5188480777437918	-0.48889972869983045	-2.512115685938132	26	
GOBP_CYTOKINE_PRODUCTION	0.4759825327510917	0.5018511486614772	0.08653997374441245	-0.23055170423743082	-0.9869261132879471	16	
GOBP_DEFENSE_RESPONSE	0.24007220216606498	0.2739647483542153	0.11673920479122178	0.22947782794596222	1.2235040671115411	34	
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM	0.0041188226640906135	0.01051383680044183	0.40701791892395395	0.4860775355674358	1.9644741487746717	16	
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	0.007688609262679813	0.017344072057673066	0.40701791892395395	0.43712369787672306	1.907677098248499	19	
GOBP_ENDOCYTOSIS	0.16029143897996356	0.19195394544514155	0.1473312136993771	0.33705365156104516	1.332776346036113	15	
