pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOBP_ADAPTIVE_IMMUNE_RESPONSE	3.383331782489728e-9	9.134995812722266e-8	0.7749390301364363	0.6927059768004695	3.3245699375468245	26	
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	0.065625	0.10838351088466883	0.21925034670375515	0.305046842488904	1.556209535750431	33	
GOBP_CELL_ACTIVATION	0.0017458413800943106	0.007856286210424397	0.45505986738722953	0.47645293532691746	2.1066893419668338	21	
GOBP_CELL_MIGRATION	0.9650238473767886	0.9697452229299363	0.03676195538836092	0.12707537791953774	0.551906643704403	20	
GOBP_DEFENSE_RESPONSE	0.06461538461538462	0.10838351088466883	0.21925034670375515	0.2933955275122148	1.5536038924189106	36	
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM	0.13836477987421383	0.19662363455809334	0.1473312136993771	0.29522867741799635	1.3409725661153673	23	
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	0.04938271604938271	0.09523809523809523	0.2529611230696109	0.32745590068687386	1.5895195909968391	27	
GOBP_ENDOCYTOSIS	3.22901211321985e-4	0.001743666541138719	0.49849310876659025	0.5651513080260617	2.289829932108305	16	
GOBP_HOMEOSTATIC_PROCESS	0.9697452229299363	0.9697452229299363	0.03660822213366891	0.1180232049849354	0.521852652405064	21	
GOBP_HUMORAL_IMMUNE_RESPONSE	0.021320839801822374	0.04428174420378493	0.35248785758361917	0.4039845520104971	1.7016677976714127	18	
GOBP_IMMUNE_RESPONSE	4.020065540047807e-5	2.71354423953227e-4	0.557332238758646	0.45893575001159315	2.511752623150557	41	
GOBP_IMMUNOGLOBULIN_PRODUCTION	2.8445922359340353e-5	2.5601330123406317e-4	0.5756102610711286	0.6407045224942244	2.684538756266516	17	
GOBP_INFLAMMATORY_RESPONSE	0.44605475040257647	0.5734989648033126	0.07380527241712746	0.2391881267047701	1.0075106356747052	18	
GOBP_INNATE_IMMUNE_RESPONSE	0.0030713840628810206	0.010467052150879284	0.4317076958033464	0.4846207862350662	2.0413245553928645	18	
GOBP_LOCOMOTION	0.8623595505617978	0.9697452229299363	0.06863256318367258	-0.13099530318310817	-0.6882090842977339	24	
GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	0.012447634716605082	0.0305532852134852	0.3807304007227924	0.4333208976765928	1.8568129010959278	19	
GOBP_POSITIVE_REGULATION_OF_SIGNALING	0.40476190476190477	0.5464285714285715	0.10755437526516934	-0.2284342427150119	-1.0378462731968845	17	
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	2.8445922359340353e-5	2.5601330123406317e-4	0.5756102610711286	0.6407045224942244	2.684538756266516	17	
GOBP_PROTEOLYSIS	0.06824146981627296	0.10838351088466883	0.28201335001172506	-0.30833521733473895	-1.4518111949382613	18	
GOBP_REGULATION_OF_CELL_ACTIVATION	0.0031013487854457135	0.010467052150879284	0.4317076958033464	0.49209311297282177	1.993819218795046	16	
GOBP_REGULATION_OF_IMMUNE_RESPONSE	0.004539218507409984	0.012255889970006957	0.40701791892395395	0.49650902742150893	1.9612334329851377	15	
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	0.014706049415958287	0.03308861118590615	0.3807304007227924	0.380827550122459	1.762764066937873	24	
GOBP_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	0.8733766233766234	0.9697452229299363	0.04233183935185304	0.16333634951509357	0.6451860727575364	15	
GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	0.8937823834196891	0.9697452229299363	0.06293946920189672	-0.15023800346632354	-0.651258726715163	15	
GOBP_RESPONSE_TO_BACTERIUM	0.08641975308641975	0.12962962962962962	0.1882041463084906	0.3057544500550155	1.4674365271383603	26	
GOBP_TAXIS	0.9154471544715447	0.9697452229299363	0.04024775650688684	0.1477547644866508	0.5986596465906863	16	
GOBP_VESICLE_MEDIATED_TRANSPORT	0.0035622250067810714	0.010686675020343215	0.4317076958033464	0.47257636744672216	2.0524671350313453	20	
